Pedal	Category	Type	Old Rating	Old Tag	New Rating	New Tag	Change
Electro-Harmonix Memory Toy	delay	Analog	5	spelunker	4	repeater	↓
Empress Echosystem	delay	Multi	10	time traveler	9	time traveler	↓
Eventide TimeFactor	delay	Multi	9	time traveler	10	time traveler	↑
Fairfield Circuitry Meet Maude	delay	Analog	10	time traveler	8	long term memory	↓
Fulltone Tube Tape Echo TTE	delay	Tape	9	time traveler	10	time traveler	↑
Ibanez AD Mini	delay	Analog	5	spelunker	2	come again?	↓
Ibanez AD9 Analog Delay	delay	Analog	6	spelunker	4	repeater	↓
Ibanez AD9 Analog Delay	delay	Analog	7	long term memory	4	repeater	↓
JHS 3 Series Delay	delay	Digital	6	spelunker	3	repeater	↓
JHS Milkman	delay	Slapback	8	long term memory	6	spelunker	↓
JHS Panther Cub V2	delay	Analog	9	time traveler	5	spelunker	↓
Joyo Aquarius Delay + Looper	delay	Digital	10	time traveler	6	spelunker	↓
Joyo D-Seed Dual Channel Delay	delay	Digital	8	long term memory	6	spelunker	↓
Keeley ECCOS	delay	Tape	8	long term memory	6	spelunker	↓
Keeley Mag Echo	delay	Tape	8	long term memory	4	repeater	↓
Line 6 DL4 Delay Modeler	delay	Digital	8	long term memory	9	time traveler	↑
Malekko Ekko 616	delay	Analog	8	long term memory	3	repeater	↓
Maxon AD999 Analog Delay	delay	Analog	8	long term memory	4	repeater	↓
Meris Polymoon	delay	Multi	9	time traveler	7	long term memory	↓
Mooer D7 Delay	delay	Digital	9	time traveler	7	long term memory	↓
MXR Carbon Copy	delay	Analog	7	long term memory	4	repeater	↓
MXR Carbon Copy Bright	delay	Analog	7	long term memory	4	repeater	↓
MXR Carbon Copy Deluxe	delay	Analog	9	time traveler	6	spelunker	↓
MXR Carbon Copy Mini	delay	Analog	5	spelunker	3	repeater	↓
MXR EP103 Echoplex Delay	delay	Tape	9	time traveler	4	repeater	↓
NUX Time Core Deluxe	delay	Digital	9	time traveler	4	repeater	↓
Old Blood Noise Black Fountain V3	delay	Analog	8	long term memory	6	spelunker	↓
Red Panda Particle 2	delay	Granular	9	time traveler	8	long term memory	↓
Red Panda Raster 2	delay	Pitch	9	time traveler	8	long term memory	↓
Roland RE-201 Space Echo	delay	Tape	9	time traveler	10	time traveler	↑
Seymour Duncan Vapor Trail	delay	Analog	8	long term memory	3	repeater	↓
Source Audio Nemesis	delay	Multi	9	time traveler	8	long term memory	↓
Strymon Dig	delay	Digital	7	long term memory	8	long term memory	↑
Strymon El Capistan	delay	Tape	9	time traveler	8	long term memory	↓
TC Electronic Alter Ego 2	delay	Tape	7	long term memory	4	repeater	↓
TC Electronic EchoBrain	delay	Analog	5	spelunker	4	repeater	↓
TC Electronic Flashback 2	delay	Digital	10	time traveler	4	repeater	↓
TC Electronic Flashback Mini	delay	Digital	7	long term memory	3	repeater	↓
TC Electronic Flashback X4	delay	Digital	9	time traveler	8	long term memory	↓
Universal Audio Starlight Echo Station	delay	Tape	9	time traveler	5	spelunker	↓
Walrus Audio ARP-87	delay	Multi	10	time traveler	6	spelunker	↓
Walrus Audio D1 V2	delay	Digital	10	time traveler	6	spelunker	↓
Walrus Audio D1 V2	delay	Digital	8	long term memory	6	spelunker	↓
Wampler Faux Tape Echo V2	delay	Tape	9	time traveler	6	spelunker	↓
Way Huge Aqua-Puss	delay	Analog	6	spelunker	4	repeater	↓
Way Huge Supa-Puss	delay	Analog	10	time traveler	6	spelunker	↓
Analog Man Bi-Comp	dynamics	Compressor	7	squashed	8	squashed	↑
Boss CP-1X	dynamics	Compressor	10	clamped down	6	smooth operator	↓
Boss CS-3	dynamics	Compressor	7	squashed	6	smooth operator	↓
Boss LM-2 Limiter	dynamics	Limiter	7	squashed	10	clamped down	↑
Boss NS-2 Noise Suppressor	dynamics	Gate	8	squashed	6	smooth operator	↓
Caline Snake Bite	dynamics	Compressor	4	gluey	6	smooth operator	↑
Darkglass Hyper Luminal	dynamics	Limiter	9	clamped down	10	clamped down	↑
Diamond Compressor	dynamics	Compressor	7	squashed	6	smooth operator	↓
DOD 280 Compressor	dynamics	Compressor	6	smooth operator	4	gluey	↓
Donner Noise Killer	utility	Gate	5	smooth operator	4	router	↓
EarthQuaker Devices Warden V2	dynamics	Compressor	10	clamped down	6	smooth operator	↓
Effectrode PC-2A	dynamics	Compressor	9	clamped down	6	smooth operator	↓
Electro-Harmonix Platform	dynamics	Limiter	7	squashed	10	clamped down	↑
Electro-Harmonix Silencer	utility	Gate	8	squashed	4	router	↓
Empress Compressor MKII	dynamics	Compressor	9	clamped down	8	squashed	↓
Empress Effects Compressor MKII	dynamics	Compressor	9	clamped down	8	squashed	↓
Fairfield Circuitry The Accountant	dynamics	Compressor	9	clamped down	6	smooth operator	↓
Fender Noise Gate	utility	Gate	7	squashed	6	pedal nerd	↓
Fender The Bends	dynamics	Compressor	8	squashed	6	smooth operator	↓
Fortin Zuul+	dynamics	Gate	9	clamped down	4	gluey	↓
ISP Decimator II	dynamics	Gate	7	squashed	4	gluey	↓
ISP Decimator II G String	dynamics	Gate	9	clamped down	4	gluey	↓
JHS Whitey Tighty	dynamics	Compressor	8	squashed	6	smooth operator	↓
Joyo JF-10 Dyna Compressor	dynamics	Compressor	5	smooth operator	6	smooth operator	↑
Joyo JF-31 Noise Gate	dynamics	Gate	5	smooth operator	4	gluey	↓
Keeley Compressor Mini	dynamics	Compressor	7	squashed	6	smooth operator	↓
Keeley Compressor Plus	dynamics	Compressor	9	clamped down	6	smooth operator	↓
Mad Professor Forest Green	dynamics	Compressor	10	clamped down	6	smooth operator	↓
Mooer Noise Killer	dynamics	Gate	6	smooth operator	4	gluey	↓
Mooer Yellow Comp	dynamics	Compressor	5	smooth operator	6	smooth operator	↑
MXR Dyna Comp Deluxe	dynamics	Compressor	9	clamped down	6	smooth operator	↓
MXR Smart Gate	dynamics	Gate	8	squashed	4	gluey	↓
Origin Effects Cali76 Bass	dynamics	Compressor	9	clamped down	8	squashed	↓
Origin Effects Cali76 Compact Deluxe	dynamics	Compressor	9	clamped down	8	squashed	↓
Origin Effects Cali76 Compact Deluxe	dynamics	Compressor	9	clamped down	8	squashed	↓
Origin Effects Cali76 Stacked Edition	dynamics	Compressor	10	clamped down	8	squashed	↓
Revv G8 Noise Gate	dynamics	Gate	7	squashed	4	gluey	↓
Rocktron Micro HUSH	dynamics	Gate	9	clamped down	4	gluey	↓
Seymour Duncan Vise Grip	dynamics	Compressor	9	clamped down	6	smooth operator	↓
Source Audio Atlas	dynamics	Compressor	8	squashed	6	smooth operator	↓
Strymon Compadre	dynamics	Compressor	8	squashed	6	smooth operator	↓
TC Electronic HyperGravity	dynamics	Compressor	10	clamped down	6	smooth operator	↓
TC Electronic HyperGravity Mini	dynamics	Compressor	8	squashed	6	smooth operator	↓
TC Electronic Sentry Noise Gate	dynamics	Gate	10	clamped down	4	gluey	↓
Universal Audio LA-2A	dynamics	Compressor	9	clamped down	8	squashed	↓
Walrus Audio Deep Six V3	dynamics	Compressor	10	clamped down	6	smooth operator	↓
Wampler Ego Compressor	dynamics	Compressor	10	clamped down	6	smooth operator	↓
Wampler Mini Ego	dynamics	Compressor	8	squashed	6	smooth operator	↓
Xotic SP Compressor	dynamics	Compressor	9	clamped down	6	smooth operator	↓
Aguilar Tone Hammer	eq	Bass Preamp	9	surgical	10	surgical	↑
Caline CP-24 10-Band EQ	eq	Graphic	6	sculptor	8	surgical	↑
Catalinbread Galileo	gain	Preamp	7	sculptor	5	burner	↓
Darkglass Vintage Ultra V2	eq	Bass Preamp	9	surgical	8	surgical	↓
DOD FX40B EQ	eq	Graphic	6	sculptor	7	sculptor	↑
Electro-Harmonix Knockout	eq	Special	6	sculptor	3	shaper	↓
Empress ParaEQ	eq	Parametric	10	surgical	9	surgical	↓
Fishman Aura Spectrum DI	eq	Acoustic	9	surgical	8	surgical	↓
Joyo JF-11 6-Band EQ	eq	Graphic	5	sculptor	8	surgical	↑
LR Baggs Align EQ	eq	Acoustic	8	surgical	7	sculptor	↓
Mooer Graphic G	eq	Graphic	5	sculptor	4	sculptor	↓
MXR M108S 10-Band EQ	eq	Graphic	9	surgical	10	surgical	↑
MXR M109S 6-Band EQ	eq	Graphic	6	sculptor	7	sculptor	↑
MXR M133 Micro Amp	gain	Boost	5	sculptor	3	dirty bird	↓
MXR M80 Bass D.I.+	eq	Bass Preamp	8	surgical	7	sculptor	↓
Source Audio EQ2	eq	Graphic	10	surgical	9	surgical	↓
Suhr Koko Boost	gain	Boost	8	surgical	2	mr. clean	↓
TC Electronic BodyRez	eq	Acoustic	6	sculptor	2	shaper	↓
Wampler EQuator	eq	Parametric	9	surgical	7	sculptor	↓
Z.Vex Super Hard On	gain	Boost	6	sculptor	2	mr. clean	↓
3Leaf Audio Proton V3	filter	Envelope	9	talking	6	funky chicken	↓
Aguilar Filter Twin	filter	Envelope	9	talking	6	funky chicken	↓
Boss AW-3 Dynamic Wah	filter	Envelope	7	street sweeper	6	funky chicken	↓
Boss FT-2 Dynamic Filter	filter	Envelope	7	street sweeper	6	funky chicken	↓
Boss PW-3 Wah	filter	Wah	6	funky chicken	4	quack doctor	↓
DOD 440 Envelope Filter	filter	Envelope	7	street sweeper	6	funky chicken	↓
Dunlop Cry Baby GCB95	filter	Wah	5	funky chicken	6	funky chicken	↑
Dunlop Cry Baby Mini	filter	Wah	5	funky chicken	6	funky chicken	↑
EarthQuaker Devices Spatial Delivery V2	filter	Envelope	8	street sweeper	6	funky chicken	↓
Electro-Harmonix Enigma: Q-Balls	filter	Envelope	9	talking	6	funky chicken	↓
Electro-Harmonix Q-Tron+	filter	Envelope	8	street sweeper	6	funky chicken	↓
Fulltone Clyde Standard	filter	Wah	8	street sweeper	6	funky chicken	↓
Fulltone Clyde Standard Wah	filter	Wah	7	street sweeper	6	funky chicken	↓
Joyo JF-09 Wow Wah	filter	Envelope	5	funky chicken	6	funky chicken	↑
Lovetone Meatball	filter	Envelope	10	talking	8	street sweeper	↓
Mad Professor Snow White Auto Wah	filter	Envelope	8	street sweeper	6	funky chicken	↓
Malekko Scrutator	filter	Bitcrusher	8	street sweeper	6	funky chicken	↓
Mooer Envelope	filter	Envelope	5	funky chicken	6	funky chicken	↑
Moog MF-101 Lowpass Filter	filter	Lowpass	10	talking	6	funky chicken	↓
Morley Bad Horsie 2	filter	Wah	7	street sweeper	6	funky chicken	↓
Mu-Tron Micro-Tron III	filter	Envelope	9	talking	6	funky chicken	↓
Mu-Tron Mu-Tron III	filter	Envelope	9	talking	6	funky chicken	↓
MXR M82 Envelope Filter	filter	Envelope	8	street sweeper	6	funky chicken	↓
MXR MC404 CAE Wah	filter	Wah	8	street sweeper	6	funky chicken	↓
Pigtronix EP2	filter	Envelope	9	talking	7	street sweeper	↓
Real McCoy Custom RMC3 FL	filter	Wah	9	talking	6	funky chicken	↓
Subdecay Prometheus DLX	filter	Envelope	9	talking	6	funky chicken	↓
Vox V845 Classic Wah	filter	Wah	5	funky chicken	6	funky chicken	↑
Wilson Effects Ten Spot II	filter	Wah	8	street sweeper	6	funky chicken	↓
WMD Protostar	filter	Envelope	9	talking	6	funky chicken	↓
Xotic XW-1	filter	Wah	8	street sweeper	6	funky chicken	↓
Z.Vex Seek Wah	filter	Sequenced	9	talking	8	street sweeper	↓
Boss FB-2 Feedbacker/Booster	gain	Boost	3	dirty bird	2	mr. clean	↓
BSM RM Treble Booster	gain	Boost	3	dirty bird	2	mr. clean	↓
Analog Man Bi-Chorus	modulation	Chorus	10	twister	8	spin cycle	↓
Boss BF-2 Flanger	modulation	Flanger	7	spin cycle	6	swirly	↓
Boss BF-3 Flanger	modulation	Flanger	8	spin cycle	6	swirly	↓
Boss CE-1 Chorus Ensemble	modulation	Chorus	8	spin cycle	6	swirly	↓
Boss CE-2W Waza Craft Chorus	modulation	Chorus	8	spin cycle	6	swirly	↓
Boss CE-2W Waza Craft Chorus	modulation	Chorus	8	spin cycle	6	swirly	↓
Boss CH-1 Super Chorus	modulation	Chorus	7	spin cycle	6	swirly	↓
Boss DC-2W Waza Craft Dimension C	modulation	Chorus	9	twister	6	swirly	↓
Boss PH-3 Phase Shifter	modulation	Phaser	9	twister	6	swirly	↓
Boss RT-20 Rotary Ensemble	modulation	Rotary	10	twister	6	swirly	↓
Boss TR-2 Tremolo	modulation	Tremolo	6	swirly	4	a little motion	↓
Boss VB-2 Vibrato	modulation	Vibrato	7	spin cycle	6	swirly	↓
Boss VB-2W Waza Craft Vibrato	modulation	Vibrato	8	spin cycle	6	swirly	↓
Caroline Guitar Company Somersault	modulation	Chorus	10	twister	7	spin cycle	↓
DOD FX13 Gonkulator	modulation	Ring Mod	7	spin cycle	6	swirly	↓
Dunlop JHM3 Jimi Hendrix Uni-Vibe	modulation	Vibrato	8	spin cycle	6	swirly	↓
EarthQuaker Devices Aqueduct Vibrato	modulation	Vibrato	9	twister	6	swirly	↓
EarthQuaker Devices Grand Orbiter V3	modulation	Phaser	9	twister	6	swirly	↓
EarthQuaker Devices Hummingbird V4	modulation	Tremolo	9	twister	4	a little motion	↓
EarthQuaker Devices Pyramids	modulation	Flanger	8	spin cycle	6	swirly	↓
EarthQuaker Devices Sea Machine V3	modulation	Chorus	7	spin cycle	6	swirly	↓
Electro-Harmonix Bad Stone	modulation	Phaser	7	spin cycle	6	swirly	↓
Electro-Harmonix Bass Clone	modulation	Chorus	7	spin cycle	6	swirly	↓
Electro-Harmonix Eddy Analog Vibrato/Chorus	modulation	Chorus	8	spin cycle	6	swirly	↓
Electro-Harmonix Electric Mistress	modulation	Flanger	7	spin cycle	6	swirly	↓
Electro-Harmonix Electric Mistress (Deluxe V1)	modulation	Flanger	8	spin cycle	6	swirly	↓
Electro-Harmonix Good Vibes	modulation	Vibrato	8	spin cycle	6	swirly	↓
Electro-Harmonix Lester G Deluxe	modulation	Rotary	10	twister	6	swirly	↓
Electro-Harmonix Lester K	modulation	Rotary	9	twister	6	swirly	↓
Electro-Harmonix Neo Clone	modulation	Chorus	7	spin cycle	6	swirly	↓
Electro-Harmonix Neo Mistress	modulation	Flanger	7	spin cycle	6	swirly	↓
Electro-Harmonix Pulsar Stereo Tremolo	modulation	Tremolo	7	spin cycle	4	a little motion	↓
Electro-Harmonix Small Clone	modulation	Chorus	7	spin cycle	6	swirly	↓
Electro-Harmonix Small Stone (V1)	modulation	Phaser	7	spin cycle	6	swirly	↓
Empress Effects Phaser	modulation	Phaser	8	spin cycle	6	swirly	↓
Fender Tre-Verb	modulation	Tremolo	9	twister	4	a little motion	↓
Foxgear Fenix	modulation	Chorus	7	spin cycle	6	swirly	↓
Fulltone MDV3 Mini Deja-Vibe	modulation	Vibrato	9	twister	6	swirly	↓
Fulltone Supa-Trem 2	modulation	Tremolo	8	spin cycle	4	a little motion	↓
JHS 3 Series Chorus	modulation	Chorus	7	spin cycle	4	a little motion	↓
JHS 3 Series Phaser	modulation	Phaser	6	swirly	4	a little motion	↓
JHS Emperor V2	modulation	Chorus	9	twister	6	swirly	↓
JHS Kodiak	modulation	Tremolo	9	twister	4	a little motion	↓
JHS Unicorn V2	modulation	Vibrato	10	twister	6	swirly	↓
Keeley Bubbletron Dynamic Flanger/Phaser	modulation	Phaser	10	twister	6	swirly	↓
Keeley Dyno My Roto	modulation	Chorus	10	twister	6	swirly	↓
Keeley Seafoam Plus Chorus	modulation	Chorus	9	twister	6	swirly	↓
Keeley Tremolo Workstation	modulation	Tremolo	10	twister	6	swirly	↓
Lovetone Doppelganger	modulation	Phaser	10	twister	6	swirly	↓
Mad Professor Electric Blue Chorus	modulation	Chorus	8	spin cycle	6	swirly	↓
Meris Ottobit Jr.	modulation	Other	8	spin cycle	6	swirly	↓
Mu-Tron Bi-Phase	modulation	Phaser	9	twister	6	swirly	↓
MXR M117R Flanger	modulation	Flanger	8	spin cycle	6	swirly	↓
MXR M234 Analog Chorus	modulation	Chorus	7	spin cycle	6	swirly	↓
MXR M290 Phase 95 Mini	modulation	Phaser	7	spin cycle	6	swirly	↓
MXR M68 Uni-Vibe	modulation	Vibrato	8	spin cycle	6	swirly	↓
MXR M83 Bass Chorus Deluxe	modulation	Chorus	8	spin cycle	6	swirly	↓
MXR M99 Phase 99	modulation	Phaser	8	spin cycle	6	swirly	↓
Neo Instruments Ventilator II	modulation	Rotary	9	twister	8	spin cycle	↓
Pigtronix Quantum Time Modulator	modulation	Phaser	7	spin cycle	8	spin cycle	↑
Roland AP-7 Jet Phaser	modulation	Phaser	8	spin cycle	6	swirly	↓
Source Audio Gemini Chorus	modulation	Chorus	7	spin cycle	6	swirly	↓
Source Audio Lunar Phaser	modulation	Phaser	7	spin cycle	6	swirly	↓
Source Audio Orbital Modulation	modulation	Rotary	7	spin cycle	6	swirly	↓
Source Audio Vertigo Tremolo	modulation	Tremolo	7	spin cycle	4	a little motion	↓
Strymon Deco Tape Saturation	modulation	Chorus	7	spin cycle	6	swirly	↓
Strymon Lex Rotary	modulation	Rotary	8	spin cycle	6	swirly	↓
Strymon Mobius	modulation	Multi	9	twister	10	twister	↑
Strymon Ola dBucket Chorus	modulation	Chorus	10	twister	6	swirly	↓
TC Electronic Afterglow Chorus	modulation	Chorus	7	spin cycle	6	swirly	↓
TC Electronic Corona Chorus	modulation	Chorus	9	twister	6	swirly	↓
TC Electronic Corona Mini Chorus	modulation	Chorus	8	spin cycle	6	swirly	↓
TC Electronic Helix Phaser	modulation	Phaser	8	spin cycle	6	swirly	↓
TC Electronic Pipeline Tap Tremolo	modulation	Tremolo	8	spin cycle	4	a little motion	↓
TC Electronic Shaker Vibrato	modulation	Vibrato	7	spin cycle	6	swirly	↓
TC Electronic Vortex Flanger	modulation	Flanger	9	twister	6	swirly	↓
Univox Uni-Vibe	modulation	Vibrato	8	spin cycle	6	swirly	↓
Walrus Audio Julia V2	modulation	Chorus	9	twister	6	swirly	↓
Walrus Audio Julianna Stereo Chorus/Vibrato	modulation	Chorus	10	twister	6	swirly	↓
Walrus Audio Lillian Multi-Stage Analog Phaser	modulation	Phaser	10	twister	6	swirly	↓
Walrus Audio Polychrome Analog Flanger	modulation	Flanger	10	twister	6	swirly	↓
Way Huge Blue Hippo	modulation	Chorus	8	spin cycle	6	swirly	↓
Way Huge Ring Worm	modulation	Phaser	9	twister	6	swirly	↓
Boss OC-2 Octave	pitch	Octave	7	warped	2	pitchy	↓
Boss OC-3 Super Octave	pitch	Octave	6	harmonious	2	pitchy	↓
Boss OC-5 Octave	pitch	Octave	8	warped	2	pitchy	↓
Boss PS-3 Pitch Shifter/Delay	pitch	Shifter	7	warped	6	harmonious	↓
Boss PS-3 Pitch Shifter/Delay	pitch	Shifter	7	warped	6	harmonious	↓
Boss PS-5 Super Shifter	pitch	Shifter	7	warped	6	harmonious	↓
Boss PS-6 Harmonist	pitch	Harmonizer	8	warped	6	harmonious	↓
Boss SY-1 Synthesizer	synth	Synth	9	unrecognizable	6	synth-like	↓
Chase Bliss MOOD	pitch	Granular	10	unrecognizable	8	warped	↓
DigiTech Drop	pitch	Shifter	8	warped	4	pitchier	↓
DigiTech Ricochet	pitch	Shifter	8	warped	4	pitchier	↓
DigiTech Whammy 5	pitch	Shifter	9	unrecognizable	8	warped	↓
DigiTech Whammy DT	pitch	Shifter	9	unrecognizable	8	warped	↓
EarthQuaker Devices Arpanoid	pitch	Arpeggiator	8	warped	6	harmonious	↓
EarthQuaker Devices Organizer V2	pitch	Organ	8	warped	6	harmonious	↓
EarthQuaker Devices Rainbow Machine	pitch	Harmonizer	8	warped	6	harmonious	↓
Electro-Harmonix Micro POG	pitch	Octave	7	warped	2	pitchy	↓
Electro-Harmonix Nano POG	pitch	Octave	6	harmonious	2	pitchy	↓
Electro-Harmonix Pitch Fork	pitch	Shifter	8	warped	5	harmonious	↓
Electro-Harmonix Pitch Fork	pitch	Shifter	8	warped	5	harmonious	↓
Electro-Harmonix Pitch Fork+	pitch	Shifter	10	unrecognizable	7	warped	↓
Eventide MicroShift	pitch	Detune	8	warped	10	unrecognizable	↑
Gamechanger Audio Plasma Coil	gain	Special	8	warped	10	melt my face	↑
Joyo Ironman JF-319 Green Legend	gain	Octave	5	harmonious	3	dirty bird	↓
Keeley Synth-1	synth	Synth	8	warped	5	synth-like	↓
Meris Hedra	pitch	Harmonizer	10	unrecognizable	8	warped	↓
Mooer Pitch Box	pitch	Harmonizer	6	harmonious	3	pitchier	↓
Mooer Tender Octaver Pro	pitch	Octave	6	harmonious	5	harmonious	↓
Morpheus Bomber	pitch	Shifter	8	warped	4	pitchier	↓
MXR Bass Octave Deluxe	pitch	Octave	7	warped	2	pitchy	↓
Pigtronix Disnortion	gain	Octave	7	warped	9	melt my face	↑
Red Panda Tensor	pitch	Shifter	10	unrecognizable	8	warped	↓
Source Audio C4 Synth	synth	Synth	10	unrecognizable	6	synth-like	↓
TC Electronic Brainwaves	pitch	Harmonizer	9	unrecognizable	5	harmonious	↓
Akai Analog Custom Shop Reverb	reverb	Hall	7	dreamy	4	moist	↓
Alexander Sky 5000	reverb	Ambient	7	dreamy	8	dreamy	↑
Alexander Space Race	reverb	Hall	10	floating	8	dreamy	↓
Anasounds Element	reverb	Spring	9	floating	8	dreamy	↓
Biyang RV-10	reverb	Room	6	drippy	4	moist	↓
Blackstar LT Reverb	reverb	Hall	6	drippy	5	drippy	↓
Boss RV-2	reverb	Room	6	drippy	5	drippy	↓
Boss RV-200	reverb	Ambient	9	floating	10	floating	↑
Boss RV-3	reverb	Hall	7	dreamy	5	drippy	↓
Boss RV-5	reverb	Hall	8	dreamy	6	drippy	↓
Boss RV-500	reverb	Shimmer	9	floating	10	floating	↑
Boss RV-6	reverb	Shimmer	10	floating	6	drippy	↓
Caline Snakebite	reverb	Room	5	drippy	7	dreamy	↑
Caroline Guitar Météore	reverb	Lo-Fi	10	floating	6	drippy	↓
Catalinbread Topanga	reverb	Spring	7	dreamy	6	drippy	↓
Cooper FX Outward V2	reverb	Special	9	floating	6	drippy	↓
Crazy Tube Circuits Splash Mk IV	reverb	Spring	9	floating	6	drippy	↓
Death By Audio Rooms	reverb	Ambient	8	dreamy	6	drippy	↓
DigiTech Hardwire RV-7	reverb	Room	9	floating	6	drippy	↓
DigiTech Polara	reverb	Hall	9	floating	6	drippy	↓
DigiTech Supernatural	reverb	Ambient	7	dreamy	6	drippy	↓
Donner Verb Square	reverb	Hall	5	drippy	6	drippy	↑
Dr. Scientist Reverberator	reverb	Ambient	10	floating	6	drippy	↓
EarthQuaker Devices Afterneath V3	reverb	Ambient	7	dreamy	6	drippy	↓
EarthQuaker Devices Dispatch Master V3	reverb	Ambient	9	floating	6	drippy	↓
EarthQuaker Devices Ghost Echo	reverb	Ambient	8	dreamy	6	drippy	↓
Electro-Harmonix Holy Grail Max	reverb	Spring	8	dreamy	6	drippy	↓
Electro-Harmonix Holy Grail Nano	reverb	Spring	6	drippy	4	moist	↓
Electro-Harmonix Nano Holy Grail	reverb	Hall	6	drippy	4	moist	↓
Electro-Harmonix Oceans 11	reverb	Spring	7	dreamy	8	dreamy	↑
Electro-Harmonix Oceans 12	reverb	Spring	9	floating	8	dreamy	↓
Eventide Blackhole	reverb	Ambient	9	floating	10	floating	↑
Fender Marine Layer Reverb	reverb	Hall	8	dreamy	6	drippy	↓
Foxpedal Defector	reverb	Room	8	dreamy	6	drippy	↓
Free The Tone Ambi Space	reverb	Hall	8	dreamy	6	drippy	↓
Gamechanger Audio Light Pedal	reverb	Plate	7	dreamy	6	drippy	↓
GFI System Specular Tempus	reverb	Ambient	9	floating	6	drippy	↓
Hamstead Zenith	reverb	Ambient	10	floating	6	drippy	↓
Hotone Verb	reverb	Hall	5	drippy	6	drippy	↑
Hungry Robot Wardenclyffe	pitch	Lo-Fi	7	dreamy	6	harmonious	↓
J. Rockett Boing Spring Reverb	reverb	Spring	7	dreamy	4	moist	↓
JHS 3 Series Reverb	reverb	Hall	7	dreamy	6	drippy	↓
JHS Spring Tank	reverb	Spring	8	dreamy	6	drippy	↓
Joyo Atmosphere	reverb	Hall	8	dreamy	6	drippy	↓
Keeley Caverns V2	reverb	Ambient	9	floating	6	drippy	↓
Keeley Omni Reverb	reverb	Hall	10	floating	6	drippy	↓
Keeley Realizer Reverberator	reverb	Plate	10	floating	6	drippy	↓
Line 6 Verbzilla	reverb	Hall	9	floating	6	drippy	↓
Matthews Effects Cosmonaut V2	reverb	Ambient	8	dreamy	6	drippy	↓
Meris Mercury7	reverb	Ambient	9	floating	8	dreamy	↓
Mooer R7 Reverb	reverb	Hall	9	floating	6	drippy	↓
Mosky Spring Reverb	reverb	Spring	5	drippy	6	drippy	↑
Mr. Black Spring Eternal	reverb	Spring	8	dreamy	6	drippy	↓
MXR M300 Reverb	reverb	Hall	10	floating	8	dreamy	↓
NativeAudio Ghost Ridge	reverb	Ambient	7	dreamy	6	drippy	↓
Neunaber Immerse Mk II	reverb	Shimmer	8	dreamy	6	drippy	↓
Neunaber Wet Reverb	reverb	Shimmer	10	floating	6	drippy	↓
NUX Atlantic	reverb	Room	9	floating	8	dreamy	↓
Old Blood Noise Dark Star V2	reverb	Ambient	8	dreamy	6	drippy	↓
